município,ano,sigla,idhm_e,idhm_l,idhm_r,idhm
ALTA FLORESTA D'OESTE,1991,RO,0.112,0.617,0.516,0.329
ARIQUEMES,1991,RO,0.199,0.684,0.593,0.432
CABIXI,1991,RO,0.108,0.636,0.43,0.309
CACOAL,1991,RO,0.171,0.667,0.593,0.407
CEREJEIRAS,1991,RO,0.167,0.629,0.547,0.386
COLORADO DO OESTE,1991,RO,0.151,0.658,0.536,0.376
CORUMBIARA,1991,RO,0.039,0.572,0.373,0.203
COSTA MARQUES,1991,RO,0.22,0.629,0.553,0.425
ESPIGÃO D'OESTE,1991,RO,0.159,0.653,0.561,0.388
GUAJARÁ-MIRIM,1991,RO,0.247,0.662,0.625,0.468
JARU,1991,RO,0.124,0.658,0.534,0.352
JI-PARANÁ,1991,RO,0.209,0.659,0.589,0.433
MACHADINHO D'OESTE,1991,RO,0.074,0.591,0.533,0.286
NOVA BRASILÂNDIA D'OESTE,1991,RO,0.079,0.607,0.421,0.272
OURO PRETO DO OESTE,1991,RO,0.155,0.629,0.57,0.382
PIMENTA BUENO,1991,RO,0.185,0.629,0.599,0.412
PORTO VELHO,1991,RO,0.29,0.633,0.66,0.495
PRESIDENTE MÉDICI,1991,RO,0.128,0.647,0.507,0.348
RIO CRESPO,1991,RO,0.065,0.578,0.461,0.259
ROLIM DE MOURA,1991,RO,0.153,0.665,0.554,0.383
SANTA LUZIA D'OESTE,1991,RO,0.1,0.572,0.422,0.289
VILHENA,1991,RO,0.284,0.665,0.655,0.498
SÃO MIGUEL DO GUAPORÉ,1991,RO,0.066,0.559,0.433,0.252
NOVA MAMORÉ,1991,RO,0.134,0.547,0.517,0.336
ALVORADA D'OESTE,1991,RO,0.112,0.598,0.458,0.313
ALTO ALEGRE DOS PARECIS,1991,RO,0.054,0.572,0.451,0.241
ALTO PARAÍSO,1991,RO,0.074,0.578,0.454,0.269
BURITIS,1991,RO,0.113,0.638,0.474,0.325
NOVO HORIZONTE DO OESTE,1991,RO,0.038,0.572,0.362,0.199
CACAULÂNDIA,1991,RO,0.079,0.609,0.47,0.283
CAMPO NOVO DE RONDÔNIA,1991,RO,0.085,0.597,0.496,0.293
CANDEIAS DO JAMARI,1991,RO,0.143,0.578,0.595,0.366
CASTANHEIRAS,1991,RO,0.048,0.572,0.394,0.221
CHUPINGUAIA,1991,RO,0.068,0.616,0.529,0.281
CUJUBIM,1991,RO,0.05,0.629,0.425,0.237
GOVERNADOR JORGE TEIXEIRA,1991,RO,0.039,0.558,0.471,0.217
ITAPUÃ DO OESTE,1991,RO,0.135,0.568,0.552,0.349
MINISTRO ANDREAZZA,1991,RO,0.061,0.638,0.546,0.277
MIRANTE DA SERRA,1991,RO,0.055,0.647,0.459,0.254
MONTE NEGRO,1991,RO,0.062,0.609,0.52,0.27
NOVA UNIÃO,1991,RO,0.047,0.591,0.427,0.228
PARECIS,1991,RO,0.018,0.629,0.463,0.174
PIMENTEIRAS DO OESTE,1991,RO,0.072,0.658,0.463,0.28
PRIMAVERA DE RONDÔNIA,1991,RO,0.082,0.629,0.446,0.284
SÃO FELIPE D'OESTE,1991,RO,0.047,0.629,0.425,0.232
SÃO FRANCISCO DO GUAPORÉ,1991,RO,0.086,0.647,0.476,0.298
SERINGUEIRAS,1991,RO,0.061,0.622,0.455,0.258
TEIXEIRÓPOLIS,1991,RO,0.038,0.653,0.466,0.226
THEOBROMA,1991,RO,0.052,0.636,0.454,0.247
URUPÁ,1991,RO,0.037,0.647,0.506,0.23
VALE DO ANARI,1991,RO,0.042,0.583,0.412,0.216
VALE DO PARAÍSO,1991,RO,0.053,0.647,0.442,0.247
ACRELÂNDIA,1991,AC,0.043,0.652,0.535,0.247
ASSIS BRASIL,1991,AC,0.096,0.646,0.499,0.314
BRASILÉIA,1991,AC,0.123,0.622,0.497,0.336
BUJARI,1991,AC,0.055,0.677,0.513,0.267
CAPIXABA,1991,AC,0.02,0.596,0.514,0.183
CRUZEIRO DO SUL,1991,AC,0.188,0.652,0.513,0.398
EPITACIOLÂNDIA,1991,AC,0.148,0.643,0.54,0.372
FEIJÓ,1991,AC,0.064,0.584,0.459,0.258
JORDÃO,1991,AC,0.024,0.611,0.333,0.17
MÂNCIO LIMA,1991,AC,0.099,0.622,0.429,0.298
MANOEL URBANO,1991,AC,0.038,0.643,0.423,0.218
MARECHAL THAUMATURGO,1991,AC,0.03,0.596,0.361,0.186
PLÁCIDO DE CASTRO,1991,AC,0.061,0.649,0.469,0.265
PORTO WALTER,1991,AC,0.026,0.596,0.354,0.176
RIO BRANCO,1991,AC,0.259,0.684,0.643,0.485
RODRIGUES ALVES,1991,AC,0.061,0.622,0.386,0.245
SANTA ROSA DO PURUS,1991,AC,0.019,0.643,0.378,0.167
SENADOR GUIOMARD,1991,AC,0.123,0.677,0.535,0.354
SENA MADUREIRA,1991,AC,0.102,0.647,0.483,0.317
TARAUACÁ,1991,AC,0.075,0.611,0.45,0.274
XAPURI,1991,AC,0.131,0.646,0.496,0.348
PORTO ACRE,1991,AC,0.061,0.622,0.457,0.259
ALVARÃES,1991,AM,0.092,0.64,0.487,0.306
AMATURÁ,1991,AM,0.064,0.599,0.425,0.254
ANAMÃ,1991,AM,0.097,0.59,0.504,0.307
ANORI,1991,AM,0.157,0.595,0.489,0.357
APUÍ,1991,AM,0.099,0.622,0.542,0.322
ATALAIA DO NORTE,1991,AM,0.058,0.64,0.399,0.246
AUTAZES,1991,AM,0.14,0.64,0.507,0.357
BARCELOS,1991,AM,0.1,0.615,0.518,0.317
BARREIRINHA,1991,AM,0.093,0.62,0.438,0.293
BENJAMIN CONSTANT,1991,AM,0.107,0.622,0.404,0.3
BERURI,1991,AM,0.081,0.59,0.42,0.272
BOA VISTA DO RAMOS,1991,AM,0.089,0.599,0.445,0.287
BOCA DO ACRE,1991,AM,0.078,0.635,0.484,0.288
BORBA,1991,AM,0.1,0.576,0.491,0.305
CAAPIRANGA,1991,AM,0.057,0.622,0.482,0.258
CANUTAMA,1991,AM,0.037,0.576,0.449,0.212
CARAUARI,1991,AM,0.071,0.583,0.465,0.268
CAREIRO,1991,AM,0.049,0.64,0.422,0.237
CAREIRO DA VÁRZEA,1991,AM,0.05,0.622,0.492,0.248
COARI,1991,AM,0.105,0.622,0.467,0.312
CODAJÁS,1991,AM,0.147,0.563,0.539,0.355
EIRUNEPÉ,1991,AM,0.104,0.599,0.413,0.295
ENVIRA,1991,AM,0.073,0.599,0.416,0.263
FONTE BOA,1991,AM,0.055,0.576,0.453,0.243
GUAJARÁ,1991,AM,0.078,0.576,0.42,0.266
HUMAITÁ,1991,AM,0.08,0.669,0.485,0.296
IPIXUNA,1991,AM,0.085,0.539,0.371,0.257
IRANDUBA,1991,AM,0.101,0.64,0.521,0.323
ITACOATIARA,1991,AM,0.192,0.667,0.532,0.408
ITAMARATI,1991,AM,0.031,0.611,0.487,0.21
ITAPIRANGA,1991,AM,0.214,0.646,0.495,0.409
JAPURÁ,1991,AM,0.029,0.64,0.482,0.208
JURUÁ,1991,AM,0.108,0.539,0.422,0.291
JUTAÍ,1991,AM,0.026,0.576,0.438,0.187
LÁBREA,1991,AM,0.058,0.599,0.473,0.254
MANACAPURU,1991,AM,0.126,0.612,0.507,0.339
MANAQUIRI,1991,AM,0.046,0.62,0.51,0.244
MANAUS,1991,AM,0.307,0.681,0.676,0.521
MANICORÉ,1991,AM,0.078,0.622,0.489,0.287
MARAÃ,1991,AM,0.07,0.599,0.444,0.265
MAUÉS,1991,AM,0.118,0.66,0.475,0.333
NHAMUNDÁ,1991,AM,0.165,0.599,0.456,0.356
NOVA OLINDA DO NORTE,1991,AM,0.11,0.599,0.501,0.321
NOVO AIRÃO,1991,AM,0.064,0.615,0.467,0.264
NOVO ARIPUANÃ,1991,AM,0.079,0.622,0.513,0.293
PARINTINS,1991,AM,0.214,0.637,0.52,0.414
PAUINI,1991,AM,0.019,0.576,0.503,0.177
PRESIDENTE FIGUEIREDO,1991,AM,0.245,0.646,0.62,0.461
RIO PRETO DA EVA,1991,AM,0.127,0.646,0.536,0.353
SANTA ISABEL DO RIO NEGRO,1991,AM,0.06,0.539,0.404,0.236
SANTO ANTÔNIO DO IÇÁ,1991,AM,0.044,0.576,0.346,0.206
SÃO GABRIEL DA CACHOEIRA,1991,AM,0.169,0.635,0.545,0.388
SÃO PAULO DE OLIVENÇA,1991,AM,0.095,0.576,0.357,0.269
SÃO SEBASTIÃO DO UATUMÃ,1991,AM,0.187,0.614,0.385,0.354
SILVES,1991,AM,0.149,0.66,0.529,0.373
TABATINGA,1991,AM,0.109,0.669,0.506,0.333
TAPAUÁ,1991,AM,0.017,0.539,0.378,0.151
TEFÉ,1991,AM,0.126,0.66,0.51,0.349
TONANTINS,1991,AM,0.069,0.599,0.412,0.257
UARINI,1991,AM,0.096,0.62,0.411,0.29
URUCARÁ,1991,AM,0.185,0.599,0.521,0.386
URUCURITUBA,1991,AM,0.073,0.599,0.374,0.254
AMAJARI,1991,RR,0.112,0.591,0.556,0.333
ALTO ALEGRE,1991,RR,0.101,0.574,0.496,0.306
BOA VISTA,1991,RR,0.329,0.655,0.687,0.529
BONFIM,1991,RR,0.128,0.591,0.52,0.34
CANTÁ,1991,RR,0.08,0.645,0.529,0.301
CARACARAÍ,1991,RR,0.175,0.645,0.588,0.405
CAROEBE,1991,RR,0.085,0.526,0.347,0.249
IRACEMA,1991,RR,0.162,0.574,0.493,0.358
MUCAJAÍ,1991,RR,0.148,0.655,0.541,0.374
NORMANDIA,1991,RR,0.097,0.526,0.421,0.278
PACARAIMA,1991,RR,0.158,0.645,0.532,0.378
RORAINÓPOLIS,1991,RR,0.108,0.591,0.534,0.324
SÃO JOÃO DA BALIZA,1991,RR,0.143,0.655,0.519,0.365
SÃO LUIZ,1991,RR,0.115,0.645,0.57,0.348
UIRAMUTÃ,1991,RR,0.045,0.574,0.313,0.201
ABAETETUBA,1991,PA,0.175,0.669,0.49,0.386
ABEL FIGUEIREDO,1991,PA,0.13,0.637,0.549,0.357
ACARÁ,1991,PA,0.058,0.631,0.45,0.254
AFUÁ,1991,PA,0.054,0.633,0.459,0.25
ÁGUA AZUL DO NORTE,1991,PA,0.032,0.576,0.489,0.208
ALENQUER,1991,PA,0.129,0.589,0.464,0.328
ALMEIRIM,1991,PA,0.153,0.693,0.581,0.395
ALTAMIRA,1991,PA,0.159,0.636,0.569,0.386
ANAJÁS,1991,PA,0.025,0.644,0.473,0.197
ANANINDEUA,1991,PA,0.33,0.683,0.608,0.516
ANAPU,1991,PA,0.066,0.607,0.391,0.25
AUGUSTO CORRÊA,1991,PA,0.057,0.589,0.4,0.238
AURORA DO PARÁ,1991,PA,0.057,0.645,0.471,0.259
AVEIRO,1991,PA,0.083,0.657,0.407,0.281
BAGRE,1991,PA,0.057,0.576,0.424,0.241
BAIÃO,1991,PA,0.14,0.638,0.423,0.336
BANNACH,1991,PA,0.084,0.71,0.475,0.305
BARCARENA,1991,PA,0.219,0.709,0.575,0.447
BELÉM,1991,PA,0.371,0.71,0.674,0.562
BELTERRA,1991,PA,0.112,0.604,0.443,0.311
BENEVIDES,1991,PA,0.179,0.592,0.47,0.368
BOM JESUS DO TOCANTINS,1991,PA,0.099,0.571,0.522,0.309
BONITO,1991,PA,0.057,0.556,0.442,0.241
BRAGANÇA,1991,PA,0.13,0.569,0.463,0.325
BRASIL NOVO,1991,PA,0.079,0.616,0.491,0.288
BREJO GRANDE DO ARAGUAIA,1991,PA,0.07,0.613,0.4,0.258
BREU BRANCO,1991,PA,0.081,0.604,0.513,0.293
BREVES,1991,PA,0.079,0.623,0.467,0.284
BUJARU,1991,PA,0.121,0.657,0.476,0.336
CACHOEIRA DO PIRIÁ,1991,PA,0.036,0.634,0.369,0.203
CACHOEIRA DO ARARI,1991,PA,0.114,0.645,0.462,0.324
CAMETÁ,1991,PA,0.126,0.645,0.434,0.328
CANAÃ DOS CARAJÁS,1991,PA,0.072,0.612,0.475,0.276
CAPANEMA,1991,PA,0.208,0.677,0.546,0.425
CAPITÃO POÇO,1991,PA,0.084,0.577,0.447,0.279
CASTANHAL,1991,PA,0.207,0.652,0.566,0.424
CHAVES,1991,PA,0.02,0.657,0.437,0.179
COLARES,1991,PA,0.205,0.642,0.447,0.389
CONCEIÇÃO DO ARAGUAIA,1991,PA,0.15,0.639,0.532,0.371
CONCÓRDIA DO PARÁ,1991,PA,0.071,0.631,0.529,0.287
CUMARU DO NORTE,1991,PA,0.081,0.623,0.584,0.309
CURIONÓPOLIS,1991,PA,0.103,0.598,0.561,0.326
CURRALINHO,1991,PA,0.044,0.56,0.489,0.229
CURUÁ,1991,PA,0.028,0.622,0.421,0.194
CURUÇÁ,1991,PA,0.16,0.611,0.399,0.339
DOM ELISEU,1991,PA,0.087,0.569,0.54,0.299
ELDORADO DOS CARAJÁS,1991,PA,0.055,0.598,0.536,0.26
FARO,1991,PA,0.11,0.556,0.362,0.281
FLORESTA DO ARAGUAIA,1991,PA,0.032,0.639,0.449,0.209
GARRAFÃO DO NORTE,1991,PA,0.026,0.556,0.423,0.183
GOIANÉSIA DO PARÁ,1991,PA,0.043,0.586,0.516,0.235
GURUPÁ,1991,PA,0.035,0.598,0.435,0.209
IGARAPÉ-AÇU,1991,PA,0.14,0.577,0.492,0.341
IGARAPÉ-MIRI,1991,PA,0.11,0.656,0.463,0.322
INHANGAPI,1991,PA,0.109,0.669,0.48,0.327
IPIXUNA DO PARÁ,1991,PA,0.064,0.642,0.468,0.268
IRITUIA,1991,PA,0.069,0.644,0.447,0.271
ITAITUBA,1991,PA,0.126,0.634,0.562,0.355
ITUPIRANGA,1991,PA,0.063,0.604,0.449,0.258
JACAREACANGA,1991,PA,0.041,0.678,0.512,0.242
JACUNDÁ,1991,PA,0.132,0.664,0.563,0.367
JURUTI,1991,PA,0.117,0.586,0.448,0.313
LIMOEIRO DO AJURU,1991,PA,0.092,0.652,0.448,0.3
MÃE DO RIO,1991,PA,0.168,0.651,0.509,0.382
MAGALHÃES BARATA,1991,PA,0.155,0.625,0.414,0.342
MARABÁ,1991,PA,0.187,0.613,0.561,0.401
MARACANÃ,1991,PA,0.11,0.643,0.432,0.313
MARAPANIM,1991,PA,0.135,0.622,0.457,0.337
MARITUBA,1991,PA,0.202,0.612,0.508,0.397
MEDICILÂNDIA,1991,PA,0.074,0.636,0.532,0.293
MELGAÇO,1991,PA,0.024,0.547,0.423,0.177
MOCAJUBA,1991,PA,0.148,0.656,0.458,0.354
MOJU,1991,PA,0.085,0.607,0.468,0.289
MONTE ALEGRE,1991,PA,0.136,0.664,0.47,0.349
MUANÁ,1991,PA,0.087,0.657,0.495,0.305
NOVA ESPERANÇA DO PIRIÁ,1991,PA,0.048,0.575,0.435,0.229
NOVA IPIXUNA,1991,PA,0.048,0.609,0.464,0.238
NOVA TIMBOTEUA,1991,PA,0.172,0.577,0.476,0.361
NOVO PROGRESSO,1991,PA,0.121,0.727,0.611,0.377
NOVO REPARTIMENTO,1991,PA,0.043,0.571,0.444,0.222
ÓBIDOS,1991,PA,0.14,0.625,0.479,0.347
OEIRAS DO PARÁ,1991,PA,0.063,0.643,0.476,0.268
ORIXIMINÁ,1991,PA,0.184,0.61,0.53,0.39
OURÉM,1991,PA,0.133,0.612,0.451,0.332
OURILÂNDIA DO NORTE,1991,PA,0.085,0.623,0.555,0.309
PACAJÁ,1991,PA,0.066,0.597,0.431,0.257
PALESTINA DO PARÁ,1991,PA,0.101,0.613,0.415,0.295
PARAGOMINAS,1991,PA,0.117,0.591,0.549,0.336
PARAUAPEBAS,1991,PA,0.199,0.678,0.626,0.439
PAU D'ARCO,1991,PA,0.04,0.632,0.479,0.23
PEIXE-BOI,1991,PA,0.152,0.569,0.442,0.337
PIÇARRA,1991,PA,0.034,0.632,0.421,0.208
PLACAS,1991,PA,0.062,0.651,0.522,0.276
PONTA DE PEDRAS,1991,PA,0.124,0.656,0.461,0.335
PORTEL,1991,PA,0.069,0.636,0.461,0.272
PORTO DE MOZ,1991,PA,0.034,0.651,0.469,0.218
PRAINHA,1991,PA,0.056,0.604,0.436,0.245
PRIMAVERA,1991,PA,0.07,0.592,0.37,0.248
QUATIPURU,1991,PA,0.082,0.56,0.431,0.27
REDENÇÃO,1991,PA,0.132,0.693,0.573,0.374
RIO MARIA,1991,PA,0.076,0.632,0.536,0.295
RONDON DO PARÁ,1991,PA,0.166,0.637,0.569,0.392
RURÓPOLIS,1991,PA,0.074,0.547,0.418,0.257
SALINÓPOLIS,1991,PA,0.194,0.673,0.486,0.399
SALVATERRA,1991,PA,0.171,0.677,0.515,0.391
SANTA BÁRBARA DO PARÁ,1991,PA,0.183,0.604,0.455,0.369
SANTA CRUZ DO ARARI,1991,PA,0.098,0.583,0.472,0.3
SANTA ISABEL DO PARÁ,1991,PA,0.255,0.652,0.539,0.447
SANTA LUZIA DO PARÁ,1991,PA,0.084,0.582,0.419,0.274
SANTA MARIA DAS BARREIRAS,1991,PA,0.101,0.639,0.543,0.327
SANTA MARIA DO PARÁ,1991,PA,0.146,0.61,0.559,0.368
SANTANA DO ARAGUAIA,1991,PA,0.111,0.639,0.513,0.331
SANTARÉM,1991,PA,0.222,0.643,0.521,0.421
SANTARÉM NOVO,1991,PA,0.143,0.563,0.474,0.337
SANTO ANTÔNIO DO TAUÁ,1991,PA,0.173,0.609,0.463,0.365
SÃO CAETANO DE ODIVELAS,1991,PA,0.122,0.669,0.468,0.337
SÃO DOMINGOS DO ARAGUAIA,1991,PA,0.08,0.634,0.458,0.285
SÃO DOMINGOS DO CAPIM,1991,PA,0.11,0.645,0.506,0.33
SÃO FÉLIX DO XINGU,1991,PA,0.09,0.623,0.557,0.315
SÃO FRANCISCO DO PARÁ,1991,PA,0.16,0.61,0.525,0.371
SÃO GERALDO DO ARAGUAIA,1991,PA,0.059,0.633,0.448,0.256
SÃO JOÃO DA PONTA,1991,PA,0.081,0.643,0.432,0.282
SÃO JOÃO DE PIRABAS,1991,PA,0.104,0.611,0.449,0.306
SÃO JOÃO DO ARAGUAIA,1991,PA,0.048,0.547,0.48,0.233
SÃO MIGUEL DO GUAMÁ,1991,PA,0.114,0.583,0.501,0.322
SÃO SEBASTIÃO DA BOA VISTA,1991,PA,0.081,0.644,0.456,0.288
SAPUCAIA,1991,PA,0.079,0.693,0.551,0.311
SENADOR JOSÉ PORFÍRIO,1991,PA,0.052,0.636,0.487,0.253
SOURE,1991,PA,0.221,0.669,0.527,0.427
TAILÂNDIA,1991,PA,0.101,0.664,0.587,0.34
TERRA ALTA,1991,PA,0.077,0.622,0.395,0.266
TERRA SANTA,1991,PA,0.141,0.609,0.432,0.334
TOMÉ-AÇU,1991,PA,0.141,0.591,0.502,0.347
TRACUATEUA,1991,PA,0.064,0.563,0.434,0.25
TRAIRÃO,1991,PA,0.067,0.634,0.471,0.271
TUCUMÃ,1991,PA,0.08,0.623,0.57,0.305
TUCURUÍ,1991,PA,0.201,0.664,0.558,0.421
ULIANÓPOLIS,1991,PA,0.062,0.576,0.595,0.277
URUARÁ,1991,PA,0.081,0.636,0.514,0.298
VIGIA,1991,PA,0.161,0.664,0.483,0.372
VISEU,1991,PA,0.057,0.575,0.404,0.237
VITÓRIA DO XINGU,1991,PA,0.064,0.618,0.456,0.262
XINGUARA,1991,PA,0.123,0.696,0.61,0.374
SERRA DO NAVIO,1991,AP,0.186,0.671,0.578,0.416
AMAPÁ,1991,AP,0.16,0.698,0.535,0.391
PEDRA BRANCA DO AMAPARI,1991,AP,0.053,0.585,0.42,0.235
CALÇOENE,1991,AP,0.125,0.57,0.562,0.342
CUTIAS,1991,AP,0.015,0.633,0.442,0.161
FERREIRA GOMES,1991,AP,0.095,0.701,0.492,0.32
ITAUBAL,1991,AP,0.065,0.584,0.505,0.268
LARANJAL DO JARI,1991,AP,0.109,0.649,0.599,0.349
MACAPÁ,1991,AP,0.322,0.69,0.653,0.525
MAZAGÃO,1991,AP,0.103,0.649,0.484,0.319
OIAPOQUE,1991,AP,0.147,0.662,0.599,0.388
PORTO GRANDE,1991,AP,0.183,0.649,0.567,0.407
PRACUÚBA,1991,AP,0.039,0.57,0.378,0.203
SANTANA,1991,AP,0.203,0.662,0.575,0.426
TARTARUGALZINHO,1991,AP,0.092,0.633,0.519,0.311
VITÓRIA DO JARI,1991,AP,0.134,0.57,0.495,0.336
ABREULÂNDIA,1991,TO,0.039,0.604,0.42,0.215
AGUIARNÓPOLIS,1991,TO,0.097,0.55,0.48,0.295
ALIANÇA DO TOCANTINS,1991,TO,0.17,0.632,0.511,0.38
ALMAS,1991,TO,0.076,0.559,0.428,0.263
ALVORADA,1991,TO,0.256,0.641,0.636,0.471
ANANÁS,1991,TO,0.096,0.585,0.457,0.295
ANGICO,1991,TO,0.061,0.562,0.379,0.235
APARECIDA DO RIO NEGRO,1991,TO,0.174,0.612,0.487,0.373
ARAGOMINAS,1991,TO,0.115,0.604,0.47,0.32
ARAGUACEMA,1991,TO,0.104,0.628,0.502,0.32
ARAGUAÇU,1991,TO,0.118,0.571,0.542,0.332
ARAGUAÍNA,1991,TO,0.23,0.647,0.616,0.451
ARAGUANÃ,1991,TO,0.083,0.609,0.436,0.28
ARAGUATINS,1991,TO,0.11,0.541,0.457,0.301
ARAPOEMA,1991,TO,0.106,0.586,0.517,0.318
ARRAIAS,1991,TO,0.123,0.593,0.529,0.338
AUGUSTINÓPOLIS,1991,TO,0.105,0.517,0.483,0.297
AURORA DO TOCANTINS,1991,TO,0.164,0.588,0.463,0.355
AXIXÁ DO TOCANTINS,1991,TO,0.093,0.49,0.391,0.261
BABAÇULÂNDIA,1991,TO,0.084,0.523,0.424,0.265
BANDEIRANTES DO TOCANTINS,1991,TO,0.067,0.642,0.524,0.282
BARRA DO OURO,1991,TO,0.022,0.565,0.396,0.17
BARROLÂNDIA,1991,TO,0.116,0.64,0.49,0.331
BERNARDO SAYÃO,1991,TO,0.133,0.607,0.464,0.335
BOM JESUS DO TOCANTINS,1991,TO,0.061,0.593,0.38,0.24
BRASILÂNDIA DO TOCANTINS,1991,TO,0.086,0.62,0.491,0.297
BREJINHO DE NAZARÉ,1991,TO,0.156,0.566,0.468,0.346
BURITI DO TOCANTINS,1991,TO,0.099,0.486,0.405,0.269
CACHOEIRINHA,1991,TO,0.153,0.523,0.387,0.314
CAMPOS LINDOS,1991,TO,0.01,0.553,0.48,0.138
CARIRI DO TOCANTINS,1991,TO,0.078,0.64,0.5,0.292
CARMOLÂNDIA,1991,TO,0.051,0.586,0.458,0.239
CARRASCO BONITO,1991,TO,0.027,0.481,0.268,0.152
CASEARA,1991,TO,0.161,0.628,0.516,0.374
CENTENÁRIO,1991,TO,0.044,0.565,0.369,0.209
CHAPADA DE AREIA,1991,TO,0.055,0.606,0.414,0.24
CHAPADA DA NATIVIDADE,1991,TO,0.056,0.597,0.406,0.239
COLINAS DO TOCANTINS,1991,TO,0.191,0.647,0.591,0.418
COMBINADO,1991,TO,0.141,0.586,0.479,0.341
CONCEIÇÃO DO TOCANTINS,1991,TO,0.112,0.593,0.447,0.31
COUTO MAGALHÃES,1991,TO,0.081,0.519,0.489,0.274
CRISTALÂNDIA,1991,TO,0.21,0.641,0.594,0.431
CRIXÁS DO TOCANTINS,1991,TO,0.109,0.637,0.455,0.316
DARCINÓPOLIS,1991,TO,0.041,0.524,0.418,0.208
DIANÓPOLIS,1991,TO,0.174,0.588,0.558,0.385
DIVINÓPOLIS DO TOCANTINS,1991,TO,0.141,0.571,0.488,0.34
DOIS IRMÃOS DO TOCANTINS,1991,TO,0.078,0.566,0.445,0.27
DUERÉ,1991,TO,0.104,0.641,0.487,0.319
ESPERANTINA,1991,TO,0.039,0.486,0.357,0.189
FÁTIMA,1991,TO,0.229,0.591,0.515,0.412
FIGUEIRÓPOLIS,1991,TO,0.18,0.658,0.514,0.393
FILADÉLFIA,1991,TO,0.115,0.637,0.478,0.327
FORMOSO DO ARAGUAIA,1991,TO,0.1,0.578,0.518,0.311
FORTALEZA DO TABOCÃO,1991,TO,0.065,0.64,0.444,0.264
GOIANORTE,1991,TO,0.107,0.537,0.511,0.309
GOIATINS,1991,TO,0.076,0.553,0.438,0.264
GUARAÍ,1991,TO,0.215,0.588,0.573,0.417
GURUPI,1991,TO,0.281,0.658,0.662,0.497
IPUEIRAS,1991,TO,0.016,0.607,0.424,0.16
ITACAJÁ,1991,TO,0.111,0.613,0.44,0.311
ITAGUATINS,1991,TO,0.076,0.519,0.433,0.258
ITAPIRATINS,1991,TO,0.071,0.594,0.406,0.258
ITAPORÃ DO TOCANTINS,1991,TO,0.134,0.666,0.481,0.35
JAÚ DO TOCANTINS,1991,TO,0.091,0.649,0.508,0.311
JUARINA,1991,TO,0.024,0.565,0.407,0.177
LAGOA DA CONFUSÃO,1991,TO,0.14,0.541,0.484,0.332
LAGOA DO TOCANTINS,1991,TO,0.062,0.515,0.352,0.224
LAJEADO,1991,TO,0.199,0.64,0.513,0.403
LAVANDEIRA,1991,TO,0.129,0.537,0.41,0.305
LIZARDA,1991,TO,0.108,0.565,0.469,0.306
LUZINÓPOLIS,1991,TO,0.112,0.487,0.401,0.28
MARIANÓPOLIS DO TOCANTINS,1991,TO,0.135,0.541,0.454,0.321
MATEIROS,1991,TO,0.014,0.649,0.347,0.147
MAURILÂNDIA DO TOCANTINS,1991,TO,0.029,0.578,0.44,0.195
MIRACEMA DO TOCANTINS,1991,TO,0.217,0.666,0.672,0.46
MIRANORTE,1991,TO,0.228,0.583,0.606,0.432
MONTE DO CARMO,1991,TO,0.104,0.55,0.482,0.302
MONTE SANTO DO TOCANTINS,1991,TO,0.013,0.578,0.48,0.153
PALMEIRAS DO TOCANTINS,1991,TO,0.022,0.541,0.406,0.169
MURICILÂNDIA,1991,TO,0.139,0.523,0.5,0.331
NATIVIDADE,1991,TO,0.126,0.594,0.507,0.336
NAZARÉ,1991,TO,0.104,0.585,0.421,0.295
NOVA OLINDA,1991,TO,0.128,0.537,0.503,0.326
NOVA ROSALÂNDIA,1991,TO,0.179,0.629,0.519,0.388
NOVO ACORDO,1991,TO,0.126,0.618,0.457,0.329
NOVO ALEGRE,1991,TO,0.242,0.566,0.504,0.41
NOVO JARDIM,1991,TO,0.056,0.597,0.389,0.235
OLIVEIRA DE FÁTIMA,1991,TO,0.148,0.559,0.476,0.34
PALMEIRANTE,1991,TO,0.038,0.566,0.403,0.205
PALMEIRÓPOLIS,1991,TO,0.183,0.642,0.594,0.412
PARAÍSO DO TOCANTINS,1991,TO,0.258,0.66,0.681,0.488
PARANÃ,1991,TO,0.066,0.606,0.475,0.267
PAU D'ARCO,1991,TO,0.067,0.642,0.518,0.281
PEDRO AFONSO,1991,TO,0.204,0.64,0.572,0.421
PEIXE,1991,TO,0.11,0.632,0.473,0.32
PEQUIZEIRO,1991,TO,0.135,0.618,0.486,0.344
COLMÉIA,1991,TO,0.186,0.586,0.549,0.391
PINDORAMA DO TOCANTINS,1991,TO,0.108,0.588,0.493,0.315
PIRAQUÊ,1991,TO,0.071,0.647,0.433,0.271
PIUM,1991,TO,0.115,0.571,0.527,0.326
PONTE ALTA DO BOM JESUS,1991,TO,0.086,0.566,0.431,0.276
PONTE ALTA DO TOCANTINS,1991,TO,0.115,0.612,0.464,0.32
PORTO ALEGRE DO TOCANTINS,1991,TO,0.206,0.593,0.461,0.383
PORTO NACIONAL,1991,TO,0.203,0.64,0.588,0.424
PRAIA NORTE,1991,TO,0.082,0.486,0.402,0.252
PRESIDENTE KENNEDY,1991,TO,0.135,0.64,0.52,0.355
PUGMIL,1991,TO,0.031,0.541,0.448,0.196
RECURSOLÂNDIA,1991,TO,0.019,0.498,0.34,0.148
RIACHINHO,1991,TO,0.021,0.515,0.358,0.157
